timestamp,event
1530597884.7773092,start
1530597917.1314025,low
1530597919.631785,high
1530597922.1321461,low
1530597924.6330063,high
1530597927.1333592,low
1530597929.63422,high
1530597932.1345553,low
1530597934.635401,high
1530597937.136249,low
1530597939.6380954,high
