timestamps,TP9,AF7,AF8,TP10,Right AUX
1530597964.438,92.285,71.777,1.465,127.441,-453.125
1530597964.442,127.441,95.703,-41.992,165.039,277.344
1530597964.446,4.395,28.809,29.297,46.387,17.090
1530597964.450,-56.152,-7.812,99.121,-20.508,-695.801
1530597964.454,41.016,33.203,35.156,80.566,-584.473
1530597964.458,126.465,73.242,-44.434,167.480,477.051
1530597964.462,51.758,50.781,17.090,84.961,500.488
1530597964.466,-66.406,4.883,115.234,-29.785,-640.137
1530597964.470,-1.953,25.391,74.219,37.598,-553.711
1530597964.474,118.164,77.637,-19.531,153.320,288.574
1530597964.478,71.289,66.406,14.648,109.863,-43.945
1530597964.481,-52.246,10.742,112.305,-12.695,-757.324
1530597964.485,-37.598,16.602,110.840,9.277,-473.633
1530597964.489,88.379,69.824,-7.324,135.254,75.684
1530597964.493,86.426,60.547,-20.996,122.070,-406.250
1530597964.497,-32.227,9.277,96.191,6.348,-254.883
1530597964.501,-49.316,6.348,138.184,-12.207,142.578
1530597964.505,73.242,63.477,37.598,116.211,164.062
1530597964.509,117.676,84.473,-7.812,150.391,466.797
1530597964.513,15.137,38.086,76.660,30.762,-165.527
1530597964.517,-59.570,1.953,138.672,-34.668,-437.500
1530597964.520,34.668,45.898,70.801,74.707,669.922
1530597964.524,118.652,88.867,-7.324,147.949,150.391
1530597964.528,40.527,46.875,41.992,59.570,-728.027
1530597964.532,-74.219,0.000,132.812,-36.621,-478.516
1530597964.536,-17.090,20.996,103.027,25.391,-39.551
1530597964.540,107.422,71.289,7.324,138.184,-284.180
1530597964.544,70.801,68.359,26.367,97.168,-763.672
1530597964.548,-37.109,22.949,140.137,-4.883,-253.906
1530597964.552,-41.016,12.695,133.789,10.254,423.828
1530597964.556,82.520,64.453,17.578,125.488,470.703
1530597964.560,103.516,67.383,11.230,131.836,158.203
1530597964.563,-28.809,4.883,106.934,10.254,452.637
1530597964.567,-62.988,-0.977,158.203,-27.832,560.059
1530597964.571,53.711,58.105,74.707,74.707,-480.469
1530597964.575,107.422,76.172,5.859,125.977,-392.090
1530597964.579,29.785,37.598,92.285,55.664,359.863
1530597964.583,-62.500,5.371,182.617,-22.461,39.062
1530597964.587,-1.465,39.062,124.512,42.969,-737.793
1530597964.591,113.281,83.496,33.691,149.902,-312.012
1530597964.595,66.895,48.340,71.777,90.332,263.184
1530597964.599,-50.293,-6.836,178.223,-28.320,312.988
1530597964.603,-28.809,4.883,163.086,4.395,240.234
1530597964.606,87.402,60.059,52.734,120.117,-143.555
1530597964.610,70.801,55.176,63.965,106.445,565.918
1530597964.614,-44.434,4.395,175.781,-17.578,503.906
1530597964.618,-48.340,3.418,191.895,-26.855,-209.473
1530597964.622,68.848,55.176,83.496,106.445,-382.324
1530597964.626,98.145,74.219,60.059,135.254,-295.410
1530597964.630,-10.742,27.832,173.340,15.137,-294.434
1530597964.634,-66.406,-9.766,222.168,-38.086,-345.703
1530597964.638,29.785,39.551,122.559,61.523,-492.676
1530597964.642,97.656,75.684,60.059,127.441,-207.520
1530597964.645,22.949,35.645,132.324,51.270,323.730
1530597964.649,-74.707,-5.859,215.820,-33.203,129.883
1530597964.653,-9.766,17.090,166.992,42.480,295.410
1530597964.657,108.887,70.801,66.406,148.926,681.641
1530597964.661,56.641,50.781,93.750,82.031,-363.281
1530597964.665,-52.246,-4.395,200.684,-30.273,-877.930
1530597964.669,-23.926,15.625,191.895,16.113,-212.891
1530597964.673,90.820,74.219,82.031,135.742,270.996
1530597964.677,89.355,65.918,91.797,117.188,-11.230
1530597964.681,-35.645,2.930,200.684,-5.371,-326.660
1530597964.685,-65.918,-4.395,220.215,-15.625,19.531
1530597964.688,62.012,56.152,119.141,108.887,-215.332
1530597964.692,118.164,70.312,86.914,141.602,210.938
1530597964.696,15.625,29.297,174.316,32.715,437.988
1530597964.700,-63.477,10.254,234.375,-22.461,603.027
1530597964.704,28.320,38.574,152.832,62.012,28.320
1530597964.708,113.770,74.707,76.660,127.930,-449.707
1530597964.712,32.227,41.016,141.602,56.641,-189.941
1530597964.716,-75.195,-8.789,229.980,-36.621,-366.211
1530597964.720,-11.230,22.949,187.500,24.902,-659.668
1530597964.724,107.422,68.359,87.891,129.395,-684.082
1530597964.727,54.199,46.875,125.488,89.844,-7.812
1530597964.731,-67.871,0.000,233.398,-19.531,188.477
1530597964.735,-43.457,5.371,226.074,-0.977,-516.113
1530597964.739,83.008,67.871,123.047,124.023,62.012
1530597964.743,90.820,78.125,103.516,116.699,669.434
1530597964.747,-30.273,18.066,202.148,-5.859,670.898
1530597964.751,-61.035,4.395,266.602,-33.691,-377.441
1530597964.755,39.551,41.992,171.387,75.195,-783.203
1530597964.759,86.426,60.059,98.633,125.000,108.887
1530597964.763,-4.883,25.879,192.383,30.273,-120.605
1530597964.767,-79.102,-9.766,277.344,-40.039,-731.445
1530597964.770,18.066,34.668,211.426,56.641,-530.762
1530597964.774,108.887,85.449,132.812,145.508,126.953
1530597964.778,38.574,47.852,188.965,70.801,-141.602
1530597964.782,-65.918,-8.301,288.574,-31.250,-763.184
1530597964.786,-18.555,12.695,258.789,22.949,1.465
1530597964.790,89.844,58.594,154.297,134.766,978.027
1530597964.794,59.570,46.387,176.758,88.867,130.859
1530597964.798,-52.246,2.930,292.480,-34.668,-884.766
1530597964.802,-49.805,4.395,304.199,-4.883,-417.969
1530597964.806,68.848,55.176,203.125,123.535,34.668
1530597964.810,80.566,60.547,190.430,108.398,-340.332
1530597964.813,-27.344,16.602,292.969,-2.930,-578.125
1530597964.817,-68.848,-2.441,333.496,-27.344,-457.031
1530597964.821,38.574,36.621,232.422,81.055,-149.902
1530597964.825,105.469,69.336,173.828,128.418,-191.406
1530597964.829,13.672,27.832,251.465,26.855,-444.824
1530597964.833,-69.336,-11.719,336.426,-37.598,235.352
1530597964.837,14.160,28.320,271.484,61.523,787.598
1530597964.841,111.816,71.289,172.852,137.207,-6.836
1530597964.845,35.645,40.527,231.934,68.848,-129.883
1530597964.849,-67.383,2.930,340.820,-30.762,179.688
1530597964.852,-19.531,19.043,305.664,0.000,-166.016
1530597964.856,90.820,56.641,187.988,108.887,-559.082
1530597964.860,72.754,50.293,190.430,91.797,-409.668
1530597964.864,-38.086,2.441,284.668,-15.137,226.074
1530597964.868,-50.293,-3.418,298.340,-20.996,-264.648
1530597964.872,73.730,52.246,209.961,100.098,-552.246
1530597964.876,104.004,65.430,175.781,123.535,-215.332
1530597964.880,-18.066,17.090,258.789,20.996,360.352
1530597964.884,-78.125,-10.742,320.312,-32.715,492.676
1530597964.888,30.273,39.551,237.305,63.477,-245.605
1530597964.892,94.727,74.219,158.203,123.535,-332.520
1530597964.895,1.953,33.691,221.680,41.016,719.238
1530597964.899,-91.309,-16.602,304.199,-53.223,48.340
1530597964.903,-20.996,8.301,248.047,18.555,-194.824
1530597964.907,89.355,60.547,147.461,126.465,517.090
1530597964.911,35.645,48.340,169.434,57.617,-83.496
1530597964.915,-70.312,1.953,287.598,-62.012,-619.141
1530597964.919,-28.809,9.766,296.387,-11.230,-535.645
1530597964.923,81.543,60.547,185.547,116.699,139.160
1530597964.927,59.082,47.363,169.434,94.727,647.461
1530597964.931,-54.688,-10.742,261.719,-25.391,290.039
1530597964.934,-72.266,-12.695,290.527,-42.480,-287.598
1530597964.938,42.969,51.758,208.984,89.844,425.293
1530597964.942,86.914,72.754,166.992,125.488,649.902
1530597964.946,-20.020,21.484,241.699,-6.836,-342.773
1530597964.950,-79.590,-2.930,311.035,-54.688,-462.402
1530597964.954,20.996,35.156,235.840,59.082,-5.859
1530597964.958,96.191,70.312,153.320,112.793,-104.004
1530597964.962,12.207,32.227,220.215,38.574,10.254
1530597964.966,-79.590,-17.578,320.312,-44.434,100.586
1530597964.970,-29.785,8.301,278.809,11.719,-12.695
1530597964.974,76.660,60.547,177.246,117.676,448.242
1530597964.977,50.781,45.898,198.730,72.266,358.887
1530597964.981,-59.082,-7.324,301.758,-46.875,-303.711
1530597964.985,-49.805,3.418,303.711,-17.578,582.031
1530597964.989,62.988,54.688,194.336,89.844,258.789
1530597964.993,68.848,59.082,179.688,79.590,-767.578
1530597964.997,-47.363,16.602,293.457,-15.137,-300.781
1530597965.001,-78.125,0.977,330.078,-37.109,3.906
1530597965.005,43.457,39.551,220.215,70.801,-318.848
1530597965.009,91.797,60.059,170.410,105.957,-505.371
1530597965.013,-16.113,13.672,246.582,7.324,-76.660
1530597965.017,-86.914,-24.414,312.988,-54.688,-87.402
1530597965.020,9.766,23.438,249.023,44.434,132.812
1530597965.024,100.586,60.059,166.992,124.512,290.039
1530597965.028,35.156,29.297,215.820,51.758,417.480
1530597965.032,-73.242,-5.859,299.316,-45.898,635.742
1530597965.036,-29.297,7.812,260.742,-9.766,-404.785
1530597965.040,96.191,49.805,159.180,101.562,-398.438
1530597965.044,67.383,47.852,179.688,82.031,252.930
1530597965.048,-55.176,2.441,287.598,-31.250,-307.129
