timestamps,TP9,AF7,AF8,TP10,Right AUX
1530746689.579,72.754,57.617,0.000,87.402,236.328
1530746689.583,84.961,78.125,-77.148,104.004,364.258
1530746689.587,-23.438,23.926,36.133,-5.859,297.363
1530746689.591,-73.242,-12.207,138.672,-51.758,171.875
1530746689.595,20.996,36.621,45.410,51.758,193.848
1530746689.599,80.078,80.078,-68.848,107.422,295.898
1530746689.603,-6.836,40.527,4.395,15.625,326.660
1530746689.606,-92.773,-14.648,131.348,-63.965,209.473
1530746689.610,-21.973,13.672,78.125,15.137,176.758
1530746689.614,72.754,74.219,-62.012,103.516,268.555
1530746689.618,13.672,56.641,-35.645,40.039,273.926
1530746689.622,-91.797,-5.371,104.492,-61.523,176.270
1530746689.626,-59.082,4.883,113.281,-27.344,143.555
1530746689.630,52.734,71.289,-27.344,81.543,65.918
1530746689.634,40.527,70.801,-64.453,65.430,-3.906
1530746689.638,-72.754,11.230,66.895,-41.992,26.367
1530746689.642,-80.078,-7.324,130.859,-49.316,7.812
1530746689.645,31.250,46.875,4.883,62.012,10.742
1530746689.649,60.059,74.219,-80.078,84.473,-18.555
1530746689.653,-40.527,19.531,26.367,-19.043,11.719
1530746689.657,-95.215,-20.020,136.230,-66.895,-13.672
1530746689.661,-1.465,27.832,52.734,27.344,-19.531
1530746689.665,71.289,74.707,-73.242,97.656,24.902
1530746689.669,-7.812,39.551,-12.695,16.602,-19.531
1530746689.673,-91.797,-16.602,119.629,-69.824,5.859
1530746689.677,-24.414,8.301,86.426,0.000,-33.691
1530746689.681,78.613,70.312,-54.688,94.727,-81.543
1530746689.685,38.086,59.082,-51.270,45.898,29.785
1530746689.688,-70.312,-5.859,90.332,-57.129,-57.617
1530746689.692,-47.852,-5.371,119.629,-31.250,-50.781
1530746689.696,64.941,58.105,-19.043,75.195,24.902
1530746689.700,60.059,68.848,-70.801,68.848,-81.055
1530746689.704,-52.246,11.719,52.246,-39.062,-1.953
1530746689.708,-77.148,-12.207,133.789,-62.500,-36.621
1530746689.712,31.738,43.457,22.461,50.293,-105.469
1530746689.716,72.754,75.684,-80.566,91.797,41.504
1530746689.720,-32.715,24.414,12.695,-5.859,-62.988
1530746689.724,-99.609,-22.949,129.883,-63.477,-77.148
1530746689.728,-9.766,14.648,58.105,24.414,23.926
1530746689.731,70.801,67.871,-69.824,101.562,-89.355
1530746689.735,0.977,41.504,-18.555,33.203,-3.906
1530746689.739,-87.891,-17.090,116.699,-56.152,-37.109
1530746689.743,-30.762,0.977,101.074,-0.977,-124.512
1530746689.747,80.078,63.965,-37.598,104.004,35.156
1530746689.751,53.711,59.082,-51.758,72.266,-82.520
1530746689.755,-52.246,-1.465,84.961,-29.297,-85.449
1530746689.759,-40.039,-9.766,126.953,-16.602,15.625
1530746689.763,67.871,51.758,-10.254,85.938,-90.820
1530746689.767,68.359,70.312,-78.613,89.355,7.812
1530746689.770,-49.316,9.766,42.969,-22.461,-52.734
1530746689.774,-86.914,-20.996,138.672,-56.152,-127.930
1530746689.778,18.555,36.621,32.715,43.945,32.227
1530746689.782,73.242,77.148,-77.148,90.820,-74.707
1530746689.786,-21.973,33.203,8.301,-1.953,-63.965
1530746689.790,-102.539,-19.043,128.906,-78.613,12.695
1530746689.794,-20.020,12.207,68.848,5.859,-90.332
1530746689.798,70.801,66.895,-66.895,92.285,15.137
1530746689.802,7.324,39.551,-33.691,30.273,-82.031
1530746689.806,-91.797,-21.973,106.934,-61.035,-151.367
1530746689.810,-42.480,-10.254,104.004,-15.137,40.039
1530746689.813,67.383,52.246,-36.133,92.773,-89.844
1530746689.817,48.340,54.199,-57.129,73.242,-59.570
1530746689.821,-61.035,-6.836,74.219,-30.762,11.230
1530746689.825,-71.289,-17.578,127.441,-31.250,-116.211
1530746689.829,38.574,46.875,0.488,74.707,15.137
1530746689.833,66.406,70.312,-75.195,95.703,-83.984
1530746689.837,-39.062,19.043,37.109,-7.324,-145.996
1530746689.841,-88.867,-18.066,135.254,-54.688,48.340
1530746689.845,11.719,24.414,40.527,47.363,-74.707
1530746689.849,78.125,66.406,-75.684,110.352,-60.547
1530746689.852,-6.836,21.973,-7.324,23.926,8.789
1530746689.856,-89.355,-35.645,121.582,-59.082,-109.375
1530746689.860,-12.695,-4.883,77.148,10.742,9.277
1530746689.864,79.102,54.688,-61.035,101.074,-67.383
